"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","participant","value","key_press"
"19627.635000040755","consent_form.html","external-html","0","19660","0.0-0.0","","","","","",""
"50703.25999998022","instructions.html","external-html","1","70422","0.0-1.0","","","","","",""
"6589.679999975488","","survey-text","2","77018","0.0-2.0","{""Q0"":""English""}","","","","",""
"6426.190000027418","","html-button-response","3","83447","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"12191.720000002533","","audio-button-response","4","95643","0.0-4.0","","stimulus/colour1.ogg","8","","",""
"1817.310000071302","","html-button-response","5","97462","0.0-5.0","","<p>That does <b>not</b> seem to have worked; let's try again.</p>","0","","",""
"2037.9249999532476","","audio-button-response","6","99502","0.0-6.0","","stimulus/colour2.ogg","2","","",""
"1345.714999944903","","html-button-response","7","100849","0.0-7.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"1978.2750000013039","","audio-button-response","8","102830","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1069.744999986142","","html-button-response","9","103901","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"10549.69999997411","","survey-text","10","114454","0.0-10.0","{""Q0"":""5dc9ce9e35fd0c6f10391db7""}","","","","",""
"","","survey-text","10","114454","0.0-10.0","","","","10","",""
"2473.454999970272","","html-button-response","11","116929","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","117433","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","117435","0.0-13.0","","stimulus/rr/rrrr_13.wav,stimulus/an/ANAN_12.wav,stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_10.wav,stimulus/probes/phrase_mix_38.wav,stimulus/mp/phrase_mix_11.wav,stimulus/mp/phrase_mix_13.wav,stimulus/an/ANAN_10.wav,stimulus/mp/phrase_mix_12.wav,stimulus/mp/phrase_mix_10.wav,stimulus/probes/ANAN_89.wav,stimulus/rr/rrrr_11.wav,stimulus/an/ANAN_13.wav,stimulus/rr/rrrr_12.wav","","","",""
"","","call-function","13","117435","0.0-13.0","","","","","",""
"null","","audio-button-response","14","134076","0.0-14.0","","stimulus/rr/rrrr_13.wav","null","","",""
"13020.545000093989","","html-keyboard-response","15","147099","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","16","147350","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","163986","0.0-17.0","","stimulus/an/ANAN_12.wav","null","","",""
"1110.38000008557","","html-keyboard-response","18","165098","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","165350","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","181987","0.0-20.0","","stimulus/an/ANAN_11.wav","null","","",""
"1756.2049999833107","","html-keyboard-response","21","183745","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","184001","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","200637","0.0-23.0","","stimulus/rr/rrrr_10.wav","null","","",""
"941.2449999945238","","html-keyboard-response","24","201580","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","25","201835","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","218477","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"1145.6499999621883","","html-keyboard-response","27","219624","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","219878","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","236517","0.0-29.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"1068.360000033863","","html-keyboard-response","30","237587","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","237839","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","254477","0.0-32.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"1694.1599999554455","","html-keyboard-response","33","256173","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","34","256425","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","273067","0.0-35.0","","stimulus/an/ANAN_10.wav","null","","",""
"823.7250000238419","","html-keyboard-response","36","273892","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","274145","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","290790","0.0-38.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"688.9650000957772","","html-keyboard-response","39","291480","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","291734","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","308367","0.0-41.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1199.3299999739975","","html-keyboard-response","42","309568","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","309824","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","326457","0.0-44.0","","stimulus/probes/ANAN_89.wav","null","","",""
"1569.5249999407679","","html-keyboard-response","45","328028","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","46","328282","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","344917","0.0-47.0","","stimulus/rr/rrrr_11.wav","null","","",""
"1525.4349999595433","","html-keyboard-response","48","346443","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","346696","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","363337","0.0-50.0","","stimulus/an/ANAN_13.wav","null","","",""
"1656.235000002198","","html-keyboard-response","51","364994","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","52","365264","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","381907","0.0-53.0","","stimulus/rr/rrrr_12.wav","null","","",""
"1597.9999999981374","","html-keyboard-response","54","383506","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"2895.130000077188","","html-button-response","55","386403","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"7894.745000055991","","html-keyboard-response","56","394299","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","89"
"60355.71999999229","","survey-text","57","454678","0.0-57.0","{""Q0"":""bad girl\nsmall thing\nbig tree\nsolve this\n""}","","","","",""
"42572.874999954365","","survey-text","58","497253","0.0-58.0","{""Q0"":""""}","","","","",""
"27548.44500008039","","survey-text","59","524804","0.0-59.0","{""Q0"":""An example before the first word stream could have been helpful to prepare.""}","","","","",""
