"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"8119.384999969043","consent_form.html","external-html","0","8186","0.0-0.0","","","","","",""
"24182.949999987613","instructions.html","external-html","1","32729","0.0-1.0","","","","","",""
"5568.165000004228","","survey-text","2","38306","0.0-2.0","{""Q0"":""english""}","","","","",""
"9117.49500001315","","html-button-response","3","47426","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2427.7299999957904","","audio-button-response","4","49857","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1773.3749999897555","","html-button-response","5","51632","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","51635","0.0-6.0","","","","","",""
"","","call-function","7","51635","0.0-7.0","","","","","",""
"2076.149999978952","","audio-button-response","8","53713","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1078.255000000354","","html-button-response","9","54793","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"7419.790000014473","","survey-text","10","62217","0.0-10.0","{""Q0"":""5dbdac8186dae62e02b30441""}","","","","",""
"","","survey-text","10","62217","0.0-10.0","","","","","2",""
"2630.5799999972805","","html-button-response","11","64849","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","65353","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","65355","0.0-13.0","","stimulus/rr/rrrr_12.wav,stimulus/rr/rrrr_13.wav,stimulus/mp/phrase_mix_12.wav,stimulus/an/ANAN_11.wav,stimulus/probes/ANAN_89.wav,stimulus/mp/phrase_mix_11.wav,stimulus/an/ANAN_10.wav,stimulus/an/ANAN_13.wav,stimulus/mp/phrase_mix_13.wav,stimulus/mp/phrase_mix_10.wav,stimulus/probes/rrrr_17.wav,stimulus/rr/rrrr_11.wav,stimulus/rr/rrrr_10.wav,stimulus/an/ANAN_12.wav","","","",""
"","","call-function","13","65355","0.0-13.0","","","","","",""
"null","","audio-button-response","14","81991","0.0-14.0","","stimulus/rr/rrrr_12.wav","null","","",""
"4095.529999991413","","html-keyboard-response","15","86088","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","16","86341","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","102980","0.0-17.0","","stimulus/rr/rrrr_13.wav","null","","",""
"5025.820000038948","","html-keyboard-response","18","108007","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","108259","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","124900","0.0-20.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"802.0999999716878","","html-keyboard-response","21","125703","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","22","125956","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","142590","0.0-23.0","","stimulus/an/ANAN_11.wav","null","","",""
"1039.9900000193156","","html-keyboard-response","24","143631","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","25","143884","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","160519","0.0-26.0","","stimulus/probes/ANAN_89.wav","null","","",""
"702.4549999623559","","html-keyboard-response","27","161223","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","161475","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","178110","0.0-29.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"694.9700000113808","","html-keyboard-response","30","178806","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","31","179059","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","195699","0.0-32.0","","stimulus/an/ANAN_10.wav","null","","",""
"7873.164999997243","","html-keyboard-response","33","203573","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","34","203825","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","220458","0.0-35.0","","stimulus/an/ANAN_13.wav","null","","",""
"1282.1250000270084","","html-keyboard-response","36","221741","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","221993","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","238628","0.0-38.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"1744.5350000052713","","html-keyboard-response","39","240373","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","240626","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","257267","0.0-41.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"768.610000028275","","html-keyboard-response","42","258037","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","43","258289","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","274927","0.0-44.0","","stimulus/probes/rrrr_17.wav","null","","",""
"484.14499999489635","","html-keyboard-response","45","275412","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","46","275664","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","292297","0.0-47.0","","stimulus/rr/rrrr_11.wav","null","","",""
"977.2349999984726","","html-keyboard-response","48","293276","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","293528","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","310166","0.0-50.0","","stimulus/rr/rrrr_10.wav","null","","",""
"748.9000000059605","","html-keyboard-response","51","310916","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","52","311168","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","327806","0.0-53.0","","stimulus/an/ANAN_12.wav","null","","",""
"2612.1949999942444","","html-keyboard-response","54","330419","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"1431.9249999825843","","html-button-response","55","331851","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"2349.9550000415184","","html-keyboard-response","56","334203","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","89"
